subject,run,layer,modality,data,volume,focus
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-0.23871725797653198,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,1.1495954990386963,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,2.1422667503356934,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-1.7925671339035034,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-1.7406973838806152,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-1.7349658012390137,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-2.3875484466552734,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-3.0706825256347656,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-3.404733419418335,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-1.9313926696777344,7,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-2.5131945610046387,7,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-2.8126144409179688,7,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-1.3795700073242188,8,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-1.7085458040237427,8,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-2.3777167797088623,8,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-0.967349112033844,9,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-1.1214361190795898,9,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-1.9748303890228271,9,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,-0.5129815340042114,10,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,-0.5420878529548645,10,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,-0.9444528222084045,10,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,0.44039949774742126,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,1.147800087928772,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,-0.051970187574625015,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,1.5458924770355225,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,4.1988115310668945,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,2.8114655017852783,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,1.137131929397583,3,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,4.962857246398926,3,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,5.559363842010498,3,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,-0.5500362515449524,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,3.0019283294677734,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,5.621291160583496,4,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,-1.5551791191101074,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,0.3202637732028961,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,2.3141930103302,5,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,-0.8142766952514648,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,0.29212522506713867,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,VASO,0.8121628165245056,6,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,VASO,0.5996915698051453,7,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,VASO,1.1155983209609985,7,v1
