subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-05,73.41294542948405,VASO,1,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,75.36394812266032,VASO,2,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,32.977507625307354,VASO,3,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,74.86752203794626,VASO,4,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,129.11924615273108,VASO,5,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,244.3766104109744,VASO,6,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,263.5942249747942,VASO,7,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,273.6570197038872,VASO,8,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,118.43112399531346,VASO,9,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,-25.101434404199775,VASO,10,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,-130.8848140324865,VASO,11,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-06,3.792034094201644,BOLD,1,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.678930927440524,BOLD,2,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.686637042249952,BOLD,3,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.4685658102618975,BOLD,4,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.581065962780012,BOLD,5,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,4.422388829143816,BOLD,6,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,5.137278105396388,BOLD,7,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,5.536905115444056,BOLD,8,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,7.340786868935987,BOLD,9,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,9.012929347230166,BOLD,10,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,10.191992337887104,BOLD,11,visuotactile,v1,blockStim,ses-001,blockStim,zstat
sub-06,1.2817354948948259,BOLD,1,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,2.3911883832886813,BOLD,2,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.157017059251666,BOLD,3,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,3.9624871149869034,BOLD,4,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,4.696249164947091,BOLD,5,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,5.157780665316079,BOLD,6,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,5.86032126376878,BOLD,7,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,6.4058614398392155,BOLD,8,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,6.2312946090959525,BOLD,9,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,6.193346093340618,BOLD,10,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,5.785625147513854,BOLD,11,visuotactile,v1,eventStim,ses-001,eventStim,zstat
sub-06,138.63716085579085,BOLD,1,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,173.27911865711212,BOLD,2,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,174.7155291557312,BOLD,3,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,167.72910777112128,BOLD,4,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,172.99111655640274,BOLD,5,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,167.69372415464176,BOLD,6,visuotactile,v1,blockStim,ses-001,blockStim,cope
