subject,data,modality,layer,stimType,contrast,focus,runType
sub-09,1.2037401548091402,VASO,1,blockStimVisOnly,visual,v1,blockStim
sub-09,2.285061632822219,VASO,2,blockStimVisOnly,visual,v1,blockStim
sub-09,3.9574684805196263,VASO,3,blockStimVisOnly,visual,v1,blockStim
sub-09,5.392241326068908,VASO,4,blockStimVisOnly,visual,v1,blockStim
sub-09,5.829520921523755,VASO,5,blockStimVisOnly,visual,v1,blockStim
sub-09,4.948500271886587,VASO,6,blockStimVisOnly,visual,v1,blockStim
sub-09,2.9056915681689017,VASO,7,blockStimVisOnly,visual,v1,blockStim
sub-09,-0.7405362658202648,VASO,8,blockStimVisOnly,visual,v1,blockStim
sub-09,-3.7794140624187764,VASO,9,blockStimVisOnly,visual,v1,blockStim
sub-09,-6.3282572366297245,VASO,10,blockStimVisOnly,visual,v1,blockStim
sub-09,-7.071715438595185,VASO,11,blockStimVisOnly,visual,v1,blockStim
sub-11,3.7368880619915825,BOLD,1,blockStimLongTR,visiotactile,v1,blockStim
sub-11,6.012596690499534,BOLD,2,blockStimLongTR,visiotactile,v1,blockStim
sub-11,8.67883333845473,BOLD,3,blockStimLongTR,visiotactile,v1,blockStim
sub-11,10.879872814920924,BOLD,4,blockStimLongTR,visiotactile,v1,blockStim
sub-11,11.934075266722864,BOLD,5,blockStimLongTR,visiotactile,v1,blockStim
sub-11,12.661679180325768,BOLD,6,blockStimLongTR,visiotactile,v1,blockStim
sub-11,13.15547898518994,BOLD,7,blockStimLongTR,visiotactile,v1,blockStim
sub-11,12.548880841201685,BOLD,8,blockStimLongTR,visiotactile,v1,blockStim
sub-11,11.805622340800861,BOLD,9,blockStimLongTR,visiotactile,v1,blockStim
sub-11,10.677094696904533,BOLD,10,blockStimLongTR,visiotactile,v1,blockStim
sub-11,9.821096890593228,BOLD,11,blockStimLongTR,visiotactile,v1,blockStim
sub-11,0.950363168027252,VASO,1,blockStimLongTR,visiotactile,v1,blockStim
sub-11,1.7763270202713708,VASO,2,blockStimLongTR,visiotactile,v1,blockStim
sub-11,2.690828769490486,VASO,3,blockStimLongTR,visiotactile,v1,blockStim
sub-11,3.7072212520061725,VASO,4,blockStimLongTR,visiotactile,v1,blockStim
